Name;Purpose;Quantity;Total Cost (USD);Link;Distributor;;
PCB;JLCPCB;1;5.00;https://jlcpcb.com/;JLCPCB;;
IN4007 Diode;Soft starter, Price 1.26;1;0.00;https://www.aliexpress.com/item/1005010128860199.html?spm=a2g0o.productlist.main.13.321cVeUsVeUsDv&algo_pvid=5d1dc292-8c1d-47fc-b26f-221b35f9f573&algo_exp_id=5d1dc292-8c1d-47fc-b26f-221b35f9f573-31&pdp_ext_f=%7B%22order%22%3A%22320%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.35%211.24%21%21%219.26%218.51%21%40211b61d017747780040114660e2416%2112000051243238520%21sea%21CZ%216063877758%21X%211%210%21n_tag%3A-29919%3Bd%3A1803c9ff%3Bm03_new_user%3A-29895%3BpisId%3A5000000203375670&curPageLogUid=wIl4TFkDRmTA&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010128860199%7C_p_origin_prod%3A;Aliexpress;;I have all of the components that are priced as 0, so for these components it is not needed to add them to the BOM.
Resistor 100KR;price 1.50;1;0.00;https://www.aliexpress.com/item/1005007539842999.html?spm=a2g0o.productlist.main.13.77d7zj23zj23DF&algo_pvid=1429645b-4a36-4119-a7b3-98d736dedff9&algo_exp_id=1429645b-4a36-4119-a7b3-98d736dedff9-12&pdp_ext_f=%7B%22order%22%3A%2220994%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005007539842999%22%2C%22orig_item_id%22%3A%221005006898731441%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.01%211.50%21%21%2120.72%2110.36%21%402103849717747778049343615ed4db%2112000041212987998%21sea%21CZ%216063877758%21X%211%210%21n_tag%3A-29919%3Bd%3A1803c9ff%3Bm03_new_user%3A-29895&curPageLogUid=Yploor7BfNi6&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007539842999%7C_p_origin_prod%3A1005006898731441;Aliexpress;;
Power cable;Power cable, (high AWG for high current, shipping included);1;1.99;https://www.aliexpress.com/item/1005005203646529.html?spm=a2g0o.productlist.main.3.2506vKL4vKL4H0&algo_pvid=1ff6970a-e554-417a-9736-11d1abc39dd8&algo_exp_id=1ff6970a-e554-417a-9736-11d1abc39dd8-20&pdp_ext_f=%7B%22order%22%3A%223659%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%210.47%210.42%21%21%210.47%210.42%21%40211b813b17747164515903870eec0a%2112000032140706915%21sea%21CZ%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A1803c9ff%3Bm03_new_user%3A-29895&curPageLogUid=I0lyyNmGkllr&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005203646529%7C_p_origin_prod%3A;Aliexpress;;
Freewheeling diode SB1100;100V 1A, 2pcs needed, best value;1;2.31;https://www.aliexpress.com/item/1005007349885370.html?spm=a2g0o.productlist.main.1.6f9059c6bqkyBC&algo_pvid=39d6c1ab-6498-423b-9c55-4e7187bf4bcb&algo_exp_id=39d6c1ab-6498-423b-9c55-4e7187bf4bcb-0&pdp_ext_f=%7B%22order%22%3A%2266%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.32%210.99%21%21%2115.91%216.83%21%4021038da617740285924222759ed468%2112000040372339094%21sea%21CZ%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A1803c9ff%3Bm03_new_user%3A-29895%3BpisId%3A5000000197850273&curPageLogUid=PDHqQEwCMyGC&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007349885370%7C_p_origin_prod%3A;Aliexpress;;
Resistor 47R;1 pc needed, best price;1;1.59;https://www.aliexpress.com/item/1005007330288041.html?spm=a2g0o.productlist.main.46.767211fb70dwNG&aem_p4p_detail=202603201035359611494668413260001781554&algo_pvid=670cf7c4-ff83-4457-ae64-fbd872d743d6&algo_exp_id=670cf7c4-ff83-4457-ae64-fbd872d743d6-39&pdp_ext_f=%7B%22order%22%3A%22534%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%210.66%210.54%21%21%214.49%213.68%21%4021038e1e17740281354252687e86c1%2112000040294719771%21sea%21CZ%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A1803c9ff%3Bm03_new_user%3A-29895&curPageLogUid=U4fOPbpAK6XU&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007330288041%7C_p_origin_prod%3A&search_p4p_id=202603201035359611494668413260001781554_10;Aliexpress;;
Zener diode 15V 1W;2pcs needed, best vaule;1;1.83;https://www.aliexpress.com/item/1005006886308114.html?spm=a2g0o.productlist.main.12.763565e2VxvOFJ&algo_pvid=1daef451-8bd2-46a3-bdec-a26d66933992&algo_exp_id=1daef451-8bd2-46a3-bdec-a26d66933992-37&pdp_ext_f=%7B%22order%22%3A%2238%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.83%210.99%21%21%211.83%210.99%21%402103956b17740280088897737e333c%2112000038620719183%21sea%21CZ%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A1803c9ff%3Bm03_new_user%3A-29895%3BpisId%3A5000000197850273&curPageLogUid=5Mdrg3XuXAoh&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006886308114%7C_p_origin_prod%3A;Aliexpress;;
Resistor 150R;2pcs needed, best price;1;2.15;https://www.aliexpress.com/item/1005003645133625.html?spm=a2g0o.productlist.main.16.338e1d45dktWii&algo_pvid=601066ed-8d9a-4710-bbdd-b970ac96d48e&algo_exp_id=601066ed-8d9a-4710-bbdd-b970ac96d48e-8&pdp_ext_f=%7B%22order%22%3A%2256%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.29%210.90%21%21%218.85%216.19%21%40211b80e117740277498711473ed231%2112000026631349304%21sea%21CZ%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A1803c9ff%3Bm03_new_user%3A-29895&curPageLogUid=fSkWTN76PRrU&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005003645133625%7C_p_origin_prod%3A;Aliexpress;;
Mosfet insulation pad;for better heat transfer between mosfet and heatsink, 2pcs needed, best offer,;1;1.36;https://www.aliexpress.com/item/32833422141.html?spm=a2g0o.productlist.main.1.154ethvKthvKIr&algo_pvid=386a2713-dae7-4a0d-9e44-34a7fa4773e2&algo_exp_id=386a2713-dae7-4a0d-9e44-34a7fa4773e2-0&pdp_ext_f=%7B%22order%22%3A%22228%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%210.79%210.52%21%21%210.79%210.52%21%40210391a017740270953226446ea508%2165038750325%21sea%21CZ%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A1803c9ff%3Bm03_new_user%3A-29895&curPageLogUid=HXpijeaxpZ5p&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A32833422141%7C_p_origin_prod%3A;Aliexpress;;
Capacitor 220uF;Soft starter, 1pc needed, best price, price 1.19;1;0.00;https://www.aliexpress.com/item/1005007322240823.html?spm=a2g0o.productlist.main.3.4e4e6b597IeBnf&algo_pvid=02edfb23-74d5-47b3-b85f-622b369b29b5&algo_exp_id=02edfb23-74d5-47b3-b85f-622b369b29b5-2&pdp_ext_f=%7B%22order%22%3A%222020%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.23%210.86%21%21%211.23%210.86%21%40211b61bb17740248918105586ea653%2112000040256770954%21sea%21CZ%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A1803c9ff%3Bm03_new_user%3A-29895&curPageLogUid=mx3EbfFRgrpO&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007322240823%7C_p_origin_prod%3A;Aliexpress;;
