Designator,Mid X,Mid Y,Rotation,Layer
10UH,85.0,-49.5,270.0,top
C1,85.0,-62.5,0.0,top
C2,85.0,-76.0,0.0,top
C3,85.0,-89.5,0.0,top
C4,85.0,-103.0,0.0,top
C5,85.0,-116.25,0.0,top
C6,110.5,-135.597349,270.0,top
C7,40.25,-137.35,90.0,top
D1,61.75,-90.25,270.0,top
D2,40.75,-92.0,90.0,top
D3,108.25,-112.0,90.0,top
D4,129.75,-92.0,90.0,top
D5,53.58,-140.5,180.0,top
HS1,51.75,-102.29,270.0,top
HS2,119.25,-102.25,90.0,top
L1,55.005,-69.75,270.0,top
L2,114.745,-69.75,90.0,top
Q1,56.2,-102.29,90.0,top
Q2,114.75,-102.21,270.0,top
Q3,48.5,-134.77,270.0,top
Q4,58.14,-134.75,270.0,top
Q5,53.39,-134.75,270.0,top
R1,40.75,-76.25,90.0,top
R2,129.75,-76.25,90.0,top
R3,118.75,-126.0,0.0,top
R4,52.5,-126.25,180.0,top
R5,74.5,-126.75,180.0,top
R6,123.75,-140.25,180.0,top
R7,123.781866,-135.722535,180.0,top
